"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","B2G","2021A0011B2G","Population, 2021","","0","units","0","","73.1","15318","","","","0"
"2021","B2G","2021A0011B2G","Total private dwellings, 2021","","0","units","0","","73.2","7934","","","","0"
"2021","B2G","2021A0011B2G","Private dwellings occupied by usual residents, 2021","","0","units","0","","73.3","6713","","","","0"
"2021","B2H","2021A0011B2H","Population, 2021","","0","units","0","","74.1","15332","","","","0"
"2021","B2H","2021A0011B2H","Total private dwellings, 2021","","0","units","0","","74.2","7692","","","","0"
"2021","B2H","2021A0011B2H","Private dwellings occupied by usual residents, 2021","","0","units","0","","74.3","7050","","","","0"
"2021","B2J","2021A0011B2J","Population, 2021","","0","units","0","","75.1","67","","","","0"
"2021","B2J","2021A0011B2J","Total private dwellings, 2021","","0","units","0","","75.2","83","","","","0"
"2021","B2J","2021A0011B2J","Private dwellings occupied by usual residents, 2021","","0","units","0","","75.3","34","","","","0"
"2021","B2N","2021A0011B2N","Population, 2021","","0","units","0","","76.1","20816","","","","0"
"2021","B2N","2021A0011B2N","Total private dwellings, 2021","","0","units","0","","76.2","10374","","","","0"
"2021","B2N","2021A0011B2N","Private dwellings occupied by usual residents, 2021","","0","units","0","","76.3","9898","","","","0"
"2021","B2R","2021A0011B2R","Population, 2021","","0","units","0","","77.1","2553","","","","0"
"2021","B2R","2021A0011B2R","Total private dwellings, 2021","","0","units","0","","77.2","1058","","","","0"
"2021","B2R","2021A0011B2R","Private dwellings occupied by usual residents, 2021","","0","units","0","","77.3","1029","","","","0"
"2021","B2S","2021A0011B2S","Population, 2021","","0","units","0","","78.1","8011","","","","0"
"2021","B2S","2021A0011B2S","Total private dwellings, 2021","","0","units","0","","78.2","3261","","","","0"
"2021","B2S","2021A0011B2S","Private dwellings occupied by usual residents, 2021","","0","units","0","","78.3","3159","","","","0"
"2021","B2T","2021A0011B2T","Population, 2021","","0","units","0","","79.1","17780","","","","0"
"2021","B2T","2021A0011B2T","Total private dwellings, 2021","","0","units","0","","79.2","6811","","","","0"
"2021","B2T","2021A0011B2T","Private dwellings occupied by usual residents, 2021","","0","units","0","","79.3","6610","","","","0"
"2021","B2V","2021A0011B2V","Population, 2021","","0","units","0","","80.1","12252","","","","0"
"2021","B2V","2021A0011B2V","Total private dwellings, 2021","","0","units","0","","80.2","4734","","","","0"
"2021","B2V","2021A0011B2V","Private dwellings occupied by usual residents, 2021","","0","units","0","","80.3","4669","","","","0"
"2021","B2W","2021A0011B2W","Population, 2021","","0","units","0","","81.1","33145","","","","0"
"2021","B2W","2021A0011B2W","Total private dwellings, 2021","","0","units","0","","81.2","14027","","","","0"
"2021","B2W","2021A0011B2W","Private dwellings occupied by usual residents, 2021","","0","units","0","","81.3","13762","","","","0"
"2021","B2X","2021A0011B2X","Population, 2021","","0","units","0","","82.1","12038","","","","0"
"2021","B2X","2021A0011B2X","Total private dwellings, 2021","","0","units","0","","82.2","5070","","","","0"
"2021","B2X","2021A0011B2X","Private dwellings occupied by usual residents, 2021","","0","units","0","","82.3","4925","","","","0"
"2021","B2Y","2021A0011B2Y","Population, 2021","","0","units","0","","83.1","15420","","","","0"
"2021","B2Y","2021A0011B2Y","Total private dwellings, 2021","","0","units","0","","83.2","8312","","","","0"
"2021","B2Y","2021A0011B2Y","Private dwellings occupied by usual residents, 2021","","0","units","0","","83.3","7916","","","","0"
"2021","B2Z","2021A0011B2Z","Population, 2021","","0","units","0","","84.1","8335","","","","0"
"2021","B2Z","2021A0011B2Z","Total private dwellings, 2021","","0","units","0","","84.2","3378","","","","0"
"2021","B2Z","2021A0011B2Z","Private dwellings occupied by usual residents, 2021","","0","units","0","","84.3","3256","","","","0"
"2021","B3A","2021A0011B3A","Population, 2021","","0","units","0","","85.1","21857","","","","0"
"2021","B3A","2021A0011B3A","Total private dwellings, 2021","","0","units","0","","85.2","11978","","","","0"
"2021","B3A","2021A0011B3A","Private dwellings occupied by usual residents, 2021","","0","units","0","","85.3","11493","","","","0"
"2021","B3B","2021A0011B3B","Population, 2021","","0","units","0","","86.1","1688","","","","0"
"2021","B3B","2021A0011B3B","Total private dwellings, 2021","","0","units","0","","86.2","575","","","","0"
"2021","B3B","2021A0011B3B","Private dwellings occupied by usual residents, 2021","","0","units","0","","86.3","568","","","","0"
"2021","B3E","2021A0011B3E","Population, 2021","","0","units","0","","87.1","7085","","","","0"
"2021","B3E","2021A0011B3E","Total private dwellings, 2021","","0","units","0","","87.2","2981","","","","0"
"2021","B3E","2021A0011B3E","Private dwellings occupied by usual residents, 2021","","0","units","0","","87.3","2883","","","","0"
"2021","B3G","2021A0011B3G","Population, 2021","","0","units","0","","88.1","11275","","","","0"
"2021","B3G","2021A0011B3G","Total private dwellings, 2021","","0","units","0","","88.2","4519","","","","0"
"2021","B3G","2021A0011B3G","Private dwellings occupied by usual residents, 2021","","0","units","0","","88.3","4430","","","","0"
"2021","B3H","2021A0011B3H","Population, 2021","","0","units","0","","89.1","20788","","","","0"
"2021","B3H","2021A0011B3H","Total private dwellings, 2021","","0","units","0","","89.2","11609","","","","0"
